point,xgboost_rmse,other_mean_rmse,advantage,xgboost_rank,Autoformer_RMSE,Informer_RMSE,LSTM类模型_RMSE,LightGBM_RMSE,N-HiTS_RMSE,TimesFM_RMSE,XGBoost_RMSE
point35,0.004078001475845472,0.01873014388255136,0.014652142406705888,1,0.019290855779126283,0.0158892197251077,0.004255777473522999,0.004171124821147103,0.009680919964266179,0.05909296553213791,0.004078001475845472
point355,0.0019056663178784068,0.016359698160179632,0.014454031842301226,1,0.02135607253850695,0.011550815043814621,0.0022511492901406546,0.0020740554399145458,0.008750119821893478,0.05217597682680754,0.0019056663178784068
point888,0.0028997863895378973,0.017134870550589,0.014235084161051105,1,0.023993468536531136,0.013028125471241261,0.0034466284262377926,0.002917172978872785,0.020959125180526453,0.03846470271012457,0.0028997863895378973
point175,0.003245133697227836,0.017433716980554893,0.014188583283327057,1,0.02868512227798693,0.01452284620624048,0.0036403612567802147,0.0033080565732838967,0.012050033261004584,0.04239588230803327,0.003245133697227836
point685,0.0022337783792269485,0.016261208714536818,0.014027430335309869,1,0.02310094483542088,0.016169408177851896,0.002800623318476283,0.002279261683274477,0.01954375906971447,0.0336732552024829,0.0022337783792269485
point125,0.0017117156657719416,0.01573707575297447,0.014025360087202529,1,0.019244751606686022,0.010841635694270805,0.0028877067497537386,0.0018321120636182267,0.018175024930358087,0.04144122347315994,0.0017117156657719416
point920,0.002965328307141972,0.01695073682236167,0.013985408515219698,1,0.021974660175250887,0.01656339045588392,0.003681072062248922,0.003262808557724258,0.020368535839875527,0.0358539538431865,0.002965328307141972
point98,0.002415268848374515,0.016364548614487547,0.013949279766113033,1,0.020743146019060077,0.010328826726785052,0.002423419842300962,0.0026520991111407947,0.008787952721184149,0.05325184726645424,0.002415268848374515
point908,0.0031964204440424505,0.01693351175106925,0.0137370913070268,1,0.026107079956046268,0.01383101915205336,0.0038858197520064185,0.0033715414741658546,0.011896072348175345,0.042509537823968255,0.0031964204440424505
point718,0.0023724585873774865,0.01596486651109817,0.013592407923720682,1,0.02052436199966275,0.013120519221752721,0.002833395639801571,0.002406671157951463,0.02132957098439544,0.03557468006302507,0.0023724585873774865
point310,0.0019226515777920454,0.01546108804697244,0.013538436469180393,1,0.02081533954688925,0.014722780690532762,0.002249558819988775,0.0019882598965006064,0.019876072560023186,0.03311451676790006,0.0019226515777920454
point707,0.0033337581787829832,0.016868262609220874,0.01353450443043789,1,0.0170172586762529,0.010937513303189166,0.003519653032284819,0.0034857665068867153,0.020251505290628993,0.04599787884608265,0.0033337581787829832
point349,0.002814280558228523,0.01619268399014909,0.013378403431920568,1,0.020299721413201015,0.01614746270866801,0.0029301230813886087,0.003041508482704342,0.020289892721405217,0.03444739553352736,0.002814280558228523
point594,0.0030474629812629497,0.016307870695769982,0.013260407714507032,1,0.026078210613310553,0.015699436773118733,0.0034220620637445795,0.003103606054707692,0.022466652017150278,0.02707725665258806,0.0030474629812629497
point670,0.0023015149058840103,0.015506914094505895,0.013205399188621885,1,0.024512032175520147,0.016006900020253293,0.002817145331806215,0.002442271148813377,0.00955657931650919,0.037706556574133146,0.0023015149058840103
point982,0.0017543994386135158,0.014889850527755344,0.013135451089141829,1,0.022194852063548855,0.011633295381078544,0.002571623917570347,0.0017659784825425466,0.011413350181577403,0.03976000314021438,0.0017543994386135158
point16,0.002362168578115663,0.015473285606195946,0.013111117028080283,1,0.02001146080128398,0.01289832894535703,0.002773715155987951,0.00243729349122528,0.018599587665424445,0.036119327577896994,0.002362168578115663
