point,XGBoost_RMSE,LSTM_RMSE,LightGBM_RMSE,TimesFM_RMSE,Informer_RMSE,Autoformer_RMSE,NHiTS_RMSE,LSTM_minus_XGBoost,LSTM_over_XGBoost
point81,0.0015530027692746958,0.0018522967764974627,0.001405485525243007,0.011027578437178026,0.011249542543406498,0.013721509423204315,0.01115999128314292,0.00029929400722276695,1.192719557971263
point485,0.001833333691202408,0.002126074211944317,0.0015831505896027587,0.036621310566385464,0.010789348133506465,0.015152248047121697,0.012103205344060562,0.0002927405207419091,1.1596766165083197
point773,0.00223084683658983,0.0025213959600964724,0.0020116973043449405,0.0302928416654124,0.008957684894143841,0.016731023607128893,0.015272954200647362,0.0002905491235066426,1.1302416278612784
point63,0.0015698112340950944,0.001851959583131929,0.001578661444454299,0.025570172463802797,0.010765598797879515,0.01760824667136431,0.015334659059317008,0.00028214834903683467,1.1797339341882573
point845,0.0014845751216453166,0.0017553429670527866,0.0013617315376143271,0.02480942578257895,0.00951370532620468,0.01611502138131562,0.01767403830051333,0.00027076784540747004,1.1823874329157456
point23,0.00243537060373794,0.002694377213727688,0.002326586754716452,0.027069105039527072,0.0095251182495671,0.016692979543396085,0.018587688213834996,0.00025900660998974794,1.1063520310182813
point433,0.001751220958052546,0.0020050572763985895,0.0017808716779047424,0.023128462179765878,0.0112088673617841,0.0158102087030022,0.009491116316109171,0.00025383631834604344,1.1449481958166623
point442,0.0025091681073872813,0.002762314526811874,0.002234369723479339,0.02030966442669308,0.009547818970584317,0.013865909198955308,0.019553921985779522,0.0002531464194245928,1.1008885848179324
point688,0.0023042595874459794,0.0025439042817603755,0.0020993388984210833,0.03889439652452788,0.011684730489783184,0.01710926344043172,0.012905372218935127,0.00023964469431439614,1.1040007365576445
point343,0.0020560802628236887,0.0022925237567305713,0.001916313310649239,0.022309301221705647,0.011428363222073506,0.015383527214439797,0.012413158558730389,0.00023644349390688265,1.1149972100710535
point632,0.002572000838119499,0.002808443452824532,0.002337681644745858,0.03020205307612812,0.013277647552472547,0.016259473819262387,0.013154812677568286,0.0002364426147050333,1.0919294469895688
point378,0.0015691611069831,0.0018002239163673708,0.0018207989021113299,0.013354775174905291,0.012251480132057952,0.019211257252677687,0.0090255415813171,0.00023106280938427074,1.1472524448611376
point316,0.002508389881518528,0.0027357887503404424,0.002478854005689867,0.020752620041837044,0.011680469819642898,0.014377755629688025,0.010456496653010907,0.00022739886882191434,1.0906553125960832
point137,0.002091203953064941,0.0023180526447787314,0.0019443357389081828,0.05415239452838341,0.013571122600223265,0.021718402988413484,0.02115397515065792,0.0002268486917137904,1.1084775549421246
point269,0.0018388366702077608,0.002064911451379129,0.001880141777819385,0.02720145450385776,0.011969982474760547,0.01880440828824761,0.01819782957668404,0.0002260747811713682,1.1229444598501646
point761,0.001659636448790252,0.001884405654758419,0.0017294746764964929,0.023758212153788174,0.010589328162481194,0.014861958803666695,0.014154753476108135,0.00022476920596816688,1.1354327968224647
point291,0.0017533564838471455,0.0019780785864970097,0.0016054731049462913,0.02076465346490588,0.011161485341904646,0.014523848672476504,0.012608633701779741,0.0002247221026498642,1.1281668073321791
point273,0.0020936553749980515,0.002309747648060907,0.0019939082931344446,0.06180846612873464,0.009032771814763831,0.01833484753234575,0.01555527865042537,0.0002160922730628555,1.103212914428697
point587,0.0018644475848494258,0.002075498081460582,0.0017647747358550615,0.040019849070047256,0.01106004955364757,0.017976485097652706,0.015316211726302473,0.00021105049661115623,1.1131973343343953
point814,0.0018796465402990618,0.002089406249858027,0.0019699980872568486,0.029021228367779445,0.011657643192390366,0.019674221324930317,0.008820404736381833,0.0002097597095589651,1.111595294680026
point331,0.00246612189078318,0.002668708787430003,0.002545387265712236,0.02418882895071592,0.008436669975835793,0.01428788978728056,0.010505841630402512,0.00020258689664682302,1.0821479657611273
point686,0.0019027060706925984,0.002097336407841081,0.0018387227593006845,0.018049931176850248,0.012075356359536823,0.014761217409070935,0.01832694524942973,0.00019463033714848285,1.1022913313550506
point532,0.0024692930266036286,0.0026638129277879825,0.002398262787439408,0.02989299647770909,0.009777611558563026,0.013550309162129149,0.015629703209385868,0.0001945199011843539,1.078775543885897
point547,0.002429153488980779,0.0026128391605168767,0.0024144113357815224,0.04995721078157076,0.01156164809145885,0.01873129449538228,0.013932711087570968,0.00018368567153609783,1.0756171532055672
point266,0.0024020951898840494,0.002580126705802235,0.0025090998587531574,0.03293045327041056,0.010966701953999965,0.016372998379507273,0.01933503264242507,0.0001780315159181857,1.0741150961327137
point439,0.002165584882947041,0.0023424139524241766,0.0022237782976637405,0.026863314440269875,0.00947533244578861,0.016354700696084686,0.014256673518980563,0.00017682906947713573,1.0816541853748525
point525,0.002566279067137297,0.0027429483599525546,0.002609736668205592,0.03640510013046233,0.013144992705028979,0.020651842947975407,0.009793871321448508,0.00017666929281525768,1.0688425881181869
