point,LSTM_RMSE,samples
point388,0.0023094196768796206,131
point481,0.0023087982827892746,131
point775,0.0023085491152003623,131
point715,0.002307377725462294,131
point155,0.0023069732125128575,131
point244,0.002302606348380853,131
point156,0.0022994332046744775,131
point837,0.002295082556839056,131
point343,0.0022925237567305713,131
point393,0.0022875799771264007,131
point245,0.002283818552839663,131
point361,0.0022832481742557,131
point106,0.002279647247054142,131
point180,0.0022768019470766924,131
point520,0.0022702379140898425,131
point153,0.0022696712860607597,131
point989,0.0022695743729850945,131
point515,0.0022679618105876423,131
point502,0.0022621266901215603,131
point150,0.0022606139366733247,131
point958,0.0022545216027779298,131
point626,0.0022512577970110483,131
point355,0.0022511492901406546,131
point310,0.002249558819988775,131
point382,0.0022470954669570856,131
point645,0.002245093049926156,131
point873,0.0022429242455774636,131
point371,0.0022428704769037406,131
point62,0.0022359676659336482,131
point962,0.0022309271149335637,131
point373,0.002229922117952634,131
point271,0.002228873362017555,131
point478,0.0022275132417363306,131
point87,0.002224891012985435,131
point966,0.0022237601132333576,131
point825,0.0022218110396553456,131
point854,0.0022183226642771784,131
point324,0.002218318101499352,131
point96,0.0022166403833936673,131
point339,0.002215572689128528,131
point256,0.002215552579837801,131
point280,0.002215379065819435,131
point895,0.0022151054990027473,131
point79,0.0022108742819905393,131
point391,0.0022096885267691266,131
point42,0.0022019721548115993,131
point708,0.0021998875625858392,131
point196,0.0021983428108387493,131
point938,0.0021980118936232268,131
point738,0.002196699733584225,131
point677,0.002193668032294817,131
point219,0.0021894899627831694,131
point648,0.0021867945326792242,131
point741,0.0021821918323397995,131
point740,0.002172553075167697,131
point206,0.002170515652428032,131
point932,0.0021666941581872812,131
point142,0.0021646638218069023,131
point138,0.0021582372752662906,131
point45,0.0021527915281942373,131
point229,0.0021525484931596383,131
point168,0.0021439851454693242,131
point132,0.002142477931589694,131
point119,0.002139557224328158,131
point597,0.002138659831916576,131
point973,0.0021362758764600235,131
point519,0.0021356038945881664,131
point951,0.002129906373195814,131
point416,0.0021293676377675524,131
point485,0.002126074211944317,131
point544,0.002122383469698177,131
point78,0.0021161451514222244,131
point680,0.0021127496092729946,131
point440,0.002112608424902604,131
point356,0.0021118382881602778,131
point934,0.0021102456200607256,131
point428,0.0021029842744378358,131
point940,0.002099457192373947,131
point50,0.002099457192373947,131
point686,0.002097336407841081,131
point912,0.002093865879872604,131
point797,0.00208942421415346,131
point814,0.002089406249858027,131
point477,0.002088413051414293,131
point800,0.0020875828573605876,131
point882,0.00208717429874105,131
point808,0.002085816436907085,131
point821,0.0020857728424711155,131
point758,0.0020843716565496395,131
point421,0.0020821756645665068,131
point806,0.002076187103893771,131
point171,0.0020758736135981022,131
point587,0.002075498081460582,131
point955,0.0020747609414608317,131
point833,0.002074674706811084,131
point510,0.002073389944982936,131
point6,0.0020725455769386118,131
point33,0.0020677342724041694,131
point922,0.0020674476396164727,131
point486,0.002065207530555919,131
point269,0.002064911451379129,131
point805,0.002063063383671245,131
point76,0.002062535300185535,131
point158,0.002061445622962145,131
point867,0.0020613226018651957,131
point265,0.0020566670167655107,131
point376,0.002055137901503675,131
point537,0.002047444712140416,131
point41,0.0020434011332180107,131
point970,0.0020432830049528163,131
point500,0.002041742669944604,131
point533,0.0020397120705761894,131
point817,0.0020355552701334227,131
point325,0.002034861293970303,131
point954,0.002030166739701466,131
point763,0.002027020706150808,131
point8,0.002025579172148546,131
point861,0.002024911334433197,131
point915,0.002021508895700293,131
point927,0.0020122020355430284,131
point857,0.0020062342652903747,131
point433,0.0020050572763985895,131
point542,0.0020015611026573676,131
point320,0.0020001465630023404,131
point1000,0.0019945382223471647,131
point346,0.0019937668520301492,131
point606,0.0019913346448002327,131
point172,0.001984659910604216,131
point788,0.0019825205730295693,131
point291,0.0019780785864970097,131
point571,0.0019698756483223583,131
point997,0.001964563869539497,131
point292,0.0019622846892861597,131
point32,0.0019622221235423617,131
point894,0.0019594741028468618,131
point941,0.0019549284715143418,131
point398,0.0019455767535545283,131
point656,0.0019430699910450923,131
point619,0.0019211964700856256,131
point764,0.0019198173288957033,131
point238,0.001916062898385508,131
point538,0.0019157509835288128,131
point179,0.0019060958003294648,131
point294,0.001904574718795863,131
point727,0.0019011844950581837,131
point40,0.0018988667161873873,131
point259,0.0018895909639248796,131
point786,0.0018890306789066133,131
point27,0.0018859106904934712,131
point218,0.00188504384618028,131
point761,0.001884405654758419,131
point58,0.0018822858326112077,131
point589,0.0018773409367167481,131
point403,0.001876304058424719,131
point690,0.001870617961132689,131
point283,0.001868946744787123,131
point296,0.001868589166153676,131
point980,0.0018668736377168889,131
point276,0.0018632268633889438,131
point994,0.0018606889923914935,131
point352,0.0018547731934429345,131
point82,0.0018543111430478153,131
point638,0.0018540014494709746,131
point81,0.0018522967764974627,131
point63,0.001851959583131929,131
point2,0.0018463343704364526,131
point176,0.0018413843163727426,131
point691,0.001836272193477783,131
point56,0.0018186472769194594,131
point4,0.001814801207816445,131
point799,0.0018106294212519168,131
point560,0.0018043492766760092,131
point312,0.0018039424425852146,131
point378,0.0018002239163673708,131
